bps,scls,ref_cur,percent
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),A-Early All,REFERENCE PERCENT,9
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),B-Mid Closed,REFERENCE PERCENT,14
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),C-Mid Open,REFERENCE PERCENT,9
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),D-Late Closed,REFERENCE PERCENT,68
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),E-Late Open,REFERENCE PERCENT,0
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),Uncharacteristic Exotic,REFERENCE PERCENT,0
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),Uncharacteristic Native,REFERENCE PERCENT,0
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),A-Early All,CURRENT PERCENT,1
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),B-Mid Closed,CURRENT PERCENT,53
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),C-Mid Open,CURRENT PERCENT,10
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),D-Late Closed,CURRENT PERCENT,31
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),E-Late Open,CURRENT PERCENT,0
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),Uncharacteristic Exotic,CURRENT PERCENT,0
Appalachian (Hemlock-)Northern Hardwood Forest (6313700),Uncharacteristic Native,CURRENT PERCENT,4
Central and Southern Appalachian Montane Oak Forest (6113200),A-Early All,REFERENCE PERCENT,12
Central and Southern Appalachian Montane Oak Forest (6113200),B-Mid Closed,REFERENCE PERCENT,16
Central and Southern Appalachian Montane Oak Forest (6113200),C-Mid Open,REFERENCE PERCENT,11
Central and Southern Appalachian Montane Oak Forest (6113200),D-Late Open,REFERENCE PERCENT,18
Central and Southern Appalachian Montane Oak Forest (6113200),E-Late Closed,REFERENCE PERCENT,43
Central and Southern Appalachian Montane Oak Forest (6113200),Uncharacteristic Exotic,REFERENCE PERCENT,0
Central and Southern Appalachian Montane Oak Forest (6113200),Uncharacteristic Native,REFERENCE PERCENT,0
Central and Southern Appalachian Montane Oak Forest (6113200),A-Early All,CURRENT PERCENT,0
Central and Southern Appalachian Montane Oak Forest (6113200),B-Mid Closed,CURRENT PERCENT,1
Central and Southern Appalachian Montane Oak Forest (6113200),C-Mid Open,CURRENT PERCENT,60
Central and Southern Appalachian Montane Oak Forest (6113200),D-Late Open,CURRENT PERCENT,0
Central and Southern Appalachian Montane Oak Forest (6113200),E-Late Closed,CURRENT PERCENT,0
Central and Southern Appalachian Montane Oak Forest (6113200),Uncharacteristic Exotic,CURRENT PERCENT,0
Central and Southern Appalachian Montane Oak Forest (6113200),Uncharacteristic Native,CURRENT PERCENT,39
Central and Southern Appalachian Spruce-Fir Forest (6113500),A-Early All,REFERENCE PERCENT,17
Central and Southern Appalachian Spruce-Fir Forest (6113500),B-Mid Closed,REFERENCE PERCENT,14
Central and Southern Appalachian Spruce-Fir Forest (6113500),C-Mid Open,REFERENCE PERCENT,11
Central and Southern Appalachian Spruce-Fir Forest (6113500),D-Late Closed,REFERENCE PERCENT,58
Central and Southern Appalachian Spruce-Fir Forest (6113500),E,REFERENCE PERCENT,0
